순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
3331위,무지 오버핏 반팔티 [블랙],발리안트,https://www.musinsa.com/app/goods/2998381?loc=goods_rank,,7,후기 0개,평점 0점,
3332위,860g 하이넥 피그먼트 벌키 후디-MOON GRAY-,소버먼트,https://www.musinsa.com/app/goods/3123711?loc=goods_rank,1.6천 회 이상,107,후기 0개,평점 0점,
3333위,스트라이프 옥스포드 오버셔츠 (스카이블루),테이크이지,https://www.musinsa.com/app/goods/1336401?loc=goods_rank,4천 회 이상,"7,706","후기 2,006개 보기",4.8,1.2천 개 이상
3334위,포플린 히든 버튼 드레스 셔츠 (화이트),쿠어,https://www.musinsa.com/app/goods/2407192?loc=goods_rank,3.2천 회 이상,"1,075",후기 65개 보기,4.7,200개 이상
3335위,워커 셔츠 베이지,디키즈,https://www.musinsa.com/app/goods/2787268?loc=goods_rank,1.2천 회 이상,169,후기 9개 보기,4.6,50개 미만
3336위,부클 집업 가디건 (라벤더),노이어,https://www.musinsa.com/app/goods/3062819?loc=goods_rank,1.2천 회 이상,248,후기 0개,평점 0점,
3337위,W CLASSIC LOGO HALF KNIT pink,마리떼,https://www.musinsa.com/app/goods/3103164?loc=goods_rank,1.4천 회 이상,191,후기 0개,평점 0점,
3338위,어라운드 자수 하프 집업 블랙,어커버,https://www.musinsa.com/app/goods/2363695?loc=goods_rank,4.3천 회 이상,"2,321",후기 100개 보기,4.7,500개 이상
3339위,데미지 씬 크루넥 니트 (파스텔블루),쿠어,https://www.musinsa.com/app/goods/3082765?loc=goods_rank,7.8천 회 이상,374,후기 0개,평점 0점,50개 미만
3340위,엔비엘 로고 후드 (메란지레드),테일러 스튜디오,https://www.musinsa.com/app/goods/2797642?loc=goods_rank,1.1천 회 이상,302,후기 29개 보기,4.9,50개 이상
3341위,나폴리 소프트 코튼 폴로 니트 리조트 블랙,세터,https://www.musinsa.com/app/goods/2381748?loc=goods_rank,2.1천 회 이상,"3,887",후기 505개 보기,4.9,1.2천 개 이상
3342위,소프트 울 오버핏 풀오버 라운드 니트 6컬러,플레이스 스튜디오,https://www.musinsa.com/app/goods/2837412?loc=goods_rank,1.3만 회 이상,"12,416",후기 338개 보기,4.7,1.3천 개 이상
3343위,딥 오픈 칼라 셔츠 BLACK,인사일런스,https://www.musinsa.com/app/goods/3136277?loc=goods_rank,,0,후기 0개,평점 0점,
3344위,[23SS] 로고 자카드 니트_YELLOW,시티브리즈,https://www.musinsa.com/app/goods/3038194?loc=goods_rank,1.7천 회 이상,285,후기 0개,평점 0점,
3345위,뉴 AB 로고 자카드 쇼츠 슬리브 니트 atb864m(BLACK),앤더슨벨,https://www.musinsa.com/app/goods/3140113?loc=goods_rank,300회 이상,28,후기 0개,평점 0점,
3346위,SELLER LOGO HOODIE GREEN(CV2BSMM400A),카비시,https://www.musinsa.com/app/goods/1817914?loc=goods_rank,1.3천 회 이상,"1,075",후기 84개 보기,4.8,100개 이상
