순위,상품명,브랜드명,url,조회수,좋아요,구매후기 개수,평점,누적판매량(1년)
1위,(시티보이) 오버핏 옥스포드 셔츠_SPYWD23C01,스파오,https://www.musinsa.com/app/goods/2272830?loc=goods_rank,22.4만 회 이상,"46,073","후기 17,548개 보기",4.9,5만 개 이상
2위,[23SS Ver.][PACKAGE] 시티보이 빅오버 워싱 데님 셔츠_4 Color,라퍼지스토어,https://www.musinsa.com/app/goods/3150516?loc=goods_rank,1.5만 회 이상,884,후기 3개 보기,4.7,100개 이상
3위,[MUSINSA EXCLUSIVE] 뉴욕 복싱 클럽 코튼 치노 셔츠 - 블랙,폴로 랄프 로렌,https://www.musinsa.com/app/goods/3072191?loc=goods_rank,1.5만 회 이상,314,후기 0개,평점 0점,100개 이상
4위,베이식 긴팔 티셔츠 2팩,무신사 스탠다드,https://www.musinsa.com/app/goods/2149254?loc=goods_rank,14.1만 회 이상,"57,235","후기 31,434개 보기",4.9,12만 개 이상
5위,레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,무신사 스탠다드,https://www.musinsa.com/app/goods/2122566?loc=goods_rank,8.7만 회 이상,"18,637","후기 14,555개 보기",4.9,5만 개 이상
6위,커스텀핏 옥스포드 셔츠 - 화이트,폴로 랄프 로렌,https://www.musinsa.com/app/goods/1706633?loc=goods_rank,2.3만 회 이상,"11,720","후기 2,335개 보기",4.9,4.3천 개 이상
7위,LAUNDRY SHIRT (LAVENDER GRAY),유니온블루,https://www.musinsa.com/app/goods/2375962?loc=goods_rank,6.6만 회 이상,"6,987","후기 4,758개 보기",4.9,7.6천 개 이상
8위,나그랑 크루넥 코튼 스웨터 - 네이비,건지 울른스,https://www.musinsa.com/app/goods/3123590?loc=goods_rank,5.2천 회 이상,264,후기 15개 보기,5,50개 이상
9위,[패키지] 더블코튼 무지반팔  패키지 KHST1011,페플,https://www.musinsa.com/app/goods/345889?loc=goods_rank,5.1만 회 이상,"24,546","후기 9,318개 보기",4.8,3.3만 개 이상
10위,[SS Ver.]헤비 코튼 오버 럭비 맨투맨_Midnight Blue,라퍼지스토어,https://www.musinsa.com/app/goods/2038497?loc=goods_rank,19만 회 이상,"119,001","후기 15,938개 보기",4.8,4.4만 개 이상
11위,오버핏 그래피티 로고 후디-멜란지그레이,필루미네이트,https://www.musinsa.com/app/goods/2913656?loc=goods_rank,11.2만 회 이상,"24,299",후기 200개 보기,4.7,2.7천 개 이상
12위,980g pigment mtm-charcoal-,소버먼트,https://www.musinsa.com/app/goods/1582356?loc=goods_rank,14.3만 회 이상,"61,445","후기 15,728개 보기",4.8,3.2만 개 이상
13위,(23SS) 2 TONE ARCH HOODIE GRAY,예일,https://www.musinsa.com/app/goods/2326935?loc=goods_rank,14.2만 회 이상,"83,283","후기 12,611개 보기",4.8,6.7만 개 이상
14위,[23SS 뉴컬러] Guildo Elbow Patch (0AP) ASJU2311388-0AP,세인트제임스,https://www.musinsa.com/app/goods/3095580?loc=goods_rank,2.2천 회 이상,172,후기 5개 보기,5,50개 미만
15위,남성 로고 후드 - 블랙 / S50GU0202S25505900,메종 마르지엘라,https://www.musinsa.com/app/goods/2820620?loc=goods_rank,700회 이상,172,후기 1개 보기,5,
16위,남성 업사이드 다운 로고 후드 - 블랙 / S50GU0167S25503962,메종 마르지엘라,https://www.musinsa.com/app/goods/2700430?loc=goods_rank,1.6천 회 이상,175,후기 2개 보기,5,
17위,Velour Soccer Jersey Black,스컬프터,https://www.musinsa.com/app/goods/3034895?loc=goods_rank,9.3만 회 이상,"13,561",후기 254개 보기,4.9,2.2천 개 이상
18위,[23SS Ver.][Package]시티보이 빅오버 옥스포드 셔츠_8 Color,라퍼지스토어,https://www.musinsa.com/app/goods/2646350?loc=goods_rank,9.6만 회 이상,"25,338","후기 3,776개 보기",4.8,1.7만 개 이상
19위,해비 코튼 썸홀 후디 : 15color,인템포무드,https://www.musinsa.com/app/goods/2319988?loc=goods_rank,3.1만 회 이상,"17,892","후기 5,293개 보기",4.9,8.8천 개 이상
20위,LAUNDRY SHIRT (SKY BLUE),유니온블루,https://www.musinsa.com/app/goods/2065712?loc=goods_rank,3.2만 회 이상,"7,828","후기 6,447개 보기",4.9,5.7천 개 이상
21위,(23SS) [ONEMILE WEAR] 2PACK SMALL ARCH TEE WHITE / BLACK,예일,https://www.musinsa.com/app/goods/2442409?loc=goods_rank,2.6만 회 이상,"35,541","후기 8,505개 보기",4.8,4.8만 개 이상
22위,[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠,트래블,https://www.musinsa.com/app/goods/1817394?loc=goods_rank,11.9만 회 이상,"53,713","후기 6,893개 보기",4.7,2만 개 이상
23위,에센셜 후드 스웻 셔츠 (MELANGE GREY),토피,https://www.musinsa.com/app/goods/2314616?loc=goods_rank,12.5만 회 이상,"42,739","후기 7,750개 보기",4.9,4.1만 개 이상
24위,워셔블 하프 집업 카라넥 하찌 니트 (PURE BLACK),트릴리온,https://www.musinsa.com/app/goods/2775713?loc=goods_rank,12.4만 회 이상,"33,837","후기 2,682개 보기",4.7,1.8만 개 이상
