순위,상품명,브랜드,조회수,좋아요,구매후기 개수,평점,누적판매량
1.0,센테니얼 85 로우 - 화이트:블루 / IF5419,아디다스,179000.0,26990,674,4.8,3800.0
0.9997777283840854,슈퍼스타 - 화이트:블랙 / EG4958,아디다스,83000.0,31953,6154,4.9,14000.0
0.9995554567681707,XT-6 GTX - 블랙:에보니:루나 락 / L41663500,살로몬 스포츠스타일,78000.0,7194,1957,4.9,4200.0
0.9993331851522561,클럽 C 85 빈티지 - 크림 / DV6434,리복,84000.0,17894,2429,4.9,9000.0
0.9991109135363414,조그 100 2 (4E) - 블랙:블랙 / TJG138-9090,아식스,104000.0,47042,28716,4.9,29000.0
0.9988886419204268,가젤 - 블랙 / BB5476,아디다스,133000.0,16400,774,4.8,3900.0
0.9986663703045121,XT-6 - 화이트:화이트:루나 락 / L41252900,살로몬 스포츠스타일,43000.0,10211,2914,4.9,5700.0
0.9984440986885975,BW 아미 - 화이트:그레이 / HP5515,아디다스,67000.0,20376,2697,4.9,12000.0
0.9982218270726828,척 70 클래식  블랙 162058C,컨버스,71000.0,101072,44872,4.9,37000.0
0.9979995554567682,XT-6 - 블랙:블랙:팬텀 / L41086600,살로몬 스포츠스타일,43000.0,8231,3140,4.9,6400.0
0.9977772838408535,스타일 36 - (스웨이드) 마쉬멜로우:블랙 / VN0A3DZ3QKP1,반스,108000.0,9485,1301,4.9,6800.0
0.9975550122249389,척테일러 올스타 블랙 옥스 M9166C,컨버스,82000.0,113574,40794,4.9,50000.0
0.9973327406090242,클럽 C 85 빈티지 - 레트로 화이트 / IE4790,리복,72000.0,9188,485,4.8,2300.0
0.9971104689931096,가젤 - 네이비 / BB5478,아디다스,99000.0,12117,362,4.9,1700.0
0.9968881973771949,젤-1090 V2 SMU - 폴라 쉐이드:크림 / 1203A266-020,아식스,101000.0,11183,812,4.9,2500.0
0.9966659257612803,BW 아미 - 화이트 / BZ0579,아디다스,38000.0,67654,30760,4.8,18000.0
0.9964436541453656,척 70 클래식 블랙 162050C,컨버스,47000.0,98343,34062,4.9,22000.0
0.996221382529451,올드스쿨 36 DX - (애너하임 팩토리) - 블랙:화이트 / VN0A38G2PXC1,반스,45000.0,20746,8981,4.8,6700.0
0.9959991109135363,센테니얼 85 로우 - 화이트:그린 / GX2214,아디다스,80000.0,20439,514,4.9,2400.0
0.9957768392976217,컴피쿠시 올드스쿨 - (클래식) 블랙:트루 화이트/VN0A3WMAVNE1,반스,41000.0,14563,4223,4.9,9800.0
0.995554567681707,COURT(Off White),이피티,32000.0,25381,4752,4.9,11000.0
0.9953322960657924,젤-1130 - 화이트:미드나이트 / 1202A164-110,아식스,119000.0,10301,453,4.9,1900.0
