,순위,상품명,브랜드,조회수,좋아요 수,구매후기 수,평점,누적판매량
0,1.0,WALLABEE 26155515,클락스,38000.0,14327,4080,4.9,4700.0
1,0.9997777283840854,알파바운스 슬라이드 - 화이트:블랙 / FX1326,아디다스,66000.0,23811,16018,4.9,23000.0
2,0.9995554567681707,WTRD1203 클리프 스퀘어토 4홀 더비슈즈 블랙 [250~290MM],위더로드,35000.0,28566,6112,4.8,17000.0
3,0.9993331851522561,1461 3홀 모노 블랙 14345001,닥터마틴,25000.0,26500,8677,4.8,8800.0
4,0.9991109135363414,[핏더사이즈X슈펜] Seku-shi(세쿠시) 첼시 부읏츠  BYTM20W12,슈펜,20000.0,34135,11954,4.8,11000.0
5,0.9988886419204268,WALLABEE W 26155545,클락스,10000.0,2978,383,4.8,800.0
6,0.9986663703045121,SECOND.A 볼륨 라운드토 5CM 더비슈즈 2NDF2700GB [BLACK],피렌체 아뜨리에,22000.0,13044,2281,4.8,7400.0
7,0.9984440986885975,NBP7CF737I / M2002RAA (IVORY),뉴발란스,41000.0,9516,683,4.9,2100.0
8,0.9982218270726828,라운드 스퀘어 첼시 부츠 [블랙],무신사 스탠다드,16000.0,6629,1795,4.9,3800.0
9,0.9979995554567682,Dive_beige,로스트가든,23000.0,5519,401,4.9,900.0
10,0.9977772838408535,SECOND.A 스탠다드 라운드토 첼시부츠 2NDF2300GB [BLACK],피렌체 아뜨리에,15000.0,12370,2344,4.8,6400.0
11,0.9975550122249389,1461 3홀 블랙 스무스 / 11838002,닥터마틴,15000.0,15203,3449,4.9,3200.0
12,0.9973327406090242,아딜렛 22 - 라이트 브라운 / HQ4670,아디다스,27000.0,1182,259,4.9,1500.0
13,0.9971104689931096,WALLABEE 26155519,클락스,11000.0,2246,400,4.9,800.0
14,0.9968881973771949,베이스먼트 더비 R21M042 (FG 블랙),로맨틱무브,17000.0,9472,2652,4.8,4200.0
15,0.9966659257612803,알파바운스 슬라이드 2.0 - 블랙:화이트 / GY9415,아디다스,20000.0,4354,2561,4.9,9100.0
16,0.9964436541453656,와이드 스퀘어 더비 슈즈 [블랙],무신사 스탠다드,19000.0,5119,1476,4.6,3100.0
17,0.996221382529451,아딜렛 22 - 카본 / GX6949,아디다스,23000.0,2923,852,4.9,4200.0
18,0.9959991109135363,아딜렛 22 - 베이지 / GX6945,아디다스,17000.0,4870,1225,4.9,5200.0
