,순위,상품명,브랜드,평점,구매후기 개수,좋아요 수,누적판매량,조회수
0,1.0,깡스타일리스트 X 플랙 스티즈 K45 미드 블루,플랙,4.9,669,2379,2500,70000
1,0.9997777283840854,깡스타일리스트 X 플랙 스티즈 K46 로우,플랙,4.9,667,3149,2600,87000
2,0.9995554567681708,[빅유니온x깡스타일리스트] PLEATED CARGO PANTS / OLIVE,빅유니온,4.9,29,3128,5000,100000
3,0.999333185152256,[빅유니온x깡스타일리스트] PLEATED CARGO PANTS / BLACK,빅유니온,4.8,85,2715,4700,107000
4,0.9991109135363414,깡스타일리스트 X 플랙 베를린 K47 딥 블루,플랙,4.9,330,1247,1400,44000
5,0.9988886419204268,윈드셀 유틸리티 카고 파라슈트 팬츠_Black,라퍼지스토어,4.3,468,5101,2800,157000
6,0.998666370304512,[빅유니온x깡스타일리스트] DENIM PLEATED CARGO PANTS / BLACK DENIM,빅유니온,5.0,68,1431,1400,48000
7,0.9984440986885976,[빅유니온x깡스타일리스트] PLEATED CARGO PANTS / BEIGE,빅유니온,4.8,47,1067,1400,40000
8,0.9982218270726828,(시티보이) 와이드 치노 팬츠_SPTCD23C05,스파오,4.9,192,2367,1700,47000
9,0.9979995554567682,COOL TO WORK JOGGER PANTS NAVY,프렌다,4.8,726,24894,3300,56000
10,0.9977772838408536,Sunny Subway - MOD1w,모드나인,4.9,444,4864,1200,23000
11,0.9975550122249388,와이드 데님 팬츠 (OIL INDIGO),토피,4.8,284,3575,2100,47000
12,0.9973327406090242,커브드 와이드 데님 팬츠_라이트블루,인템포무드,4.9,338,4190,1300,28000
13,0.9971104689931096,Black Inferno - MOD7w,모드나인,4.8,288,3240,700,19000
14,0.9968881973771948,CONE 딥 턱 커브드 데님 팬츠 [로우 블랙],무신사 스탠다드,4.9,405,3104,1200,32000
15,0.9966659257612804,XP138 파스텔 데님 카고 팬츠 (PINK),엑스톤즈,4.9,61,4268,600,34000
16,0.9964436541453656,와이드 데님 팬츠 (WASHED BLUE BLACK),토피,4.9,186,3381,1500,43000
17,0.996221382529451,CARGO PARACHUTE PANTS-CHARCOAL,에이카화이트,5.0,3,2976,200,34000
18,0.9959991109135364,리퀴드 와이드 벌룬 데님팬츠 웨스턴블루 SOLP2460,제멋,4.8,424,7900,1900,47000
19,0.9957768392976216,[US] C로고 우븐 벨티드 카고 팬츠 (BLACK) CKPA3E708BK,챔피온,4.8,193,1746,700,15000
20,0.995554567681707,One Tuck Wide Baker Pants [Olive],비긴202,4.9,359,1198,400,20000
21,0.9953322960657924,데일리 코듀로이 밴딩 팬츠 - 4 COLOR,수아레,4.8,4939,23782,21000,24000
22,0.9951100244498776,Pigment cotton cargo string wide pants beige,스케이터락,5.0,132,3388,500,19000
23,0.9948877528339632,[2PACK] 파라슈트 하프 밴딩 팬츠_4가지 색상,아르반,4.9,428,1317,600,15000
24,0.9946654812180484,Essential Blue - MOD7ww,모드나인,4.9,722,4449,1700,12000
25,0.9944432096021338,[데일리지] 와이드 진_SPTJD23C51,스파오,4.9,114,744,900,16000
26,0.9942209379862192,(VLADIMIR) 워터프루프 와이드 카고 팬츠_블랙,디미트리블랙,4.7,177,2801,800,36000
27,0.9939986663703044,에어 파라슈트 세미 와이드 팬츠 (블랙),파브레가,4.8,222,1218,600,16000
28,0.9937763947543898,모두바지 에센셜 (Black),하이드아웃,4.9,69,681,400,14000
29,0.9935541231384752,804 WOOL SILHOUETTE PARACHUTE PANTS [CHARCOAL],인스펙터,4.9,354,1074,400,14000
30,0.9933318515225604,코튼-나일론 파라슈트 팬츠 (블랙),노이어,5.0,41,1627,200,21000
31,0.993109579906646,유틸리티 지퍼 플랩 팬츠 (블랙),쿠어,4.9,62,1113,200,18000
32,0.9928873082907312,Acid Cargo Jogger Pants Vintage Green,스컬프터,4.9,120,4506,500,24000
33,0.9926650366748166,23SS ONE TUCK BANDING DENIM LIKE PANTS BLACK,비슬로우,4.8,44,1009,200,19000
34,0.992442765058902,디스트로이드 스케이터 진스 (워시드블루),쿠어,5.0,8,1046,200,20000
35,0.9922204934429874,804 WOOL SILHOUETTE PARACHUTE PANTS [BLACK],인스펙터,4.9,458,1525,500,13000
36,0.9919982218270726,워싱 코튼 트윌 팬츠 본 화이트,파르티멘토,5.0,10,1112,700,19000
37,0.991775950211158,Pigment cotton cargo string wide pants dark gray,스케이터락,4.9,86,3361,500,16000
38,0.9915536785952432,CALIK 로우 웨이스트 와이드 진 LIGHT BLUE,인사일런스,4.9,67,1576,300,21000
39,0.9913314069793288,[패키지] 크로플 코듀로이 와이드팬츠 2PACK MJLP7618,더블유브이프로젝트,4.8,1469,15547,6500,12000
40,0.991109135363414,우먼즈 더블 니트 투 턱 와이드 라운지 스웨트 팬츠 [미디엄 그레이],무신사 스탠다드,4.9,436,5587,1900,22000
41,0.9908868637474996,Wayward Son - MOD7w,모드나인,5.0,555,2916,700,11000
42,0.9906645921315848,믹스드 절개 와이드 데님 팬츠 인디고블랙,꼼파뇨,4.8,309,8538,1200,32000
43,0.9904423205156702,23SS M51 Field Pants (Charcoal Navy),어나더 오피스,5.0,29,478,100,17000
44,0.9902200488997556,[NF] 유틸리티 나일론 후드 셋업_F23QB468XQD843,네스티팬시클럽,4.8,36,2990,200,19000
45,0.9899977772838408,CONE 딥 턱 커브드 데님 팬츠 [크림],무신사 스탠다드,4.9,267,1733,700,16000
46,0.9897755056679262,이지 와이드 피그다잉 팬츠 인디핑크,굿라이프웍스,4.8,401,7764,1300,32000
47,0.9895532340520116,Washed Nylon 6PK Pants [Pink],비긴202,4.9,166,1124,200,11000
48,0.9893309624360968,이지 와이드 데님 팬츠 빈티지 라이트블루,굿라이프웍스,4.9,154,1973,1000,22000
49,0.9891086908201824,HAMPUS CARGO PANTS (BLACK),이티씨이,4.9,88,451,100,9200
50,0.9888864192042676,#0314 CRACK WASHED WIDE FIT,페이탈리즘,4.8,322,3346,900,55000
51,0.988664147588353,와이드 파라슈트 팬츠 카키 IEPA3E010K2,일꼬르소,4.9,36,873,200,18000
52,0.9884418759724384,윈드셀 유틸리티 카고 파라슈트 팬츠_Tan Brown,라퍼지스토어,4.6,124,1235,400,37000
53,0.9882196043565236,에어 파라슈트 세미 와이드 팬츠 (차콜),파브레가,4.9,140,996,400,13000
54,0.987997332740609,셀비지 레귤러 핏 데님 팬츠 [딥 인디고],무신사 스탠다드,4.7,90,1548,400,14000
55,0.9877750611246944,(올시즌)슬럽 원턱 와이드 데님_블랙,디미트리블랙,4.9,139,1554,600,24000
56,0.9875527895087798,[WIDE] Armad Jeans,판도라핏,4.9,79,4465,400,22000
57,0.9873305178928652,스모크 와이드 데님 팬츠 빈티지블루 KMLP6669,에즈카톤,4.9,201,5610,1100,20000
58,0.9871082462769504,PINCH WIND DENIM PANTS BLUE,메종미네드,5.0,54,537,100,10000
59,0.9868859746610358,COOL TO WORK JOGGER PANTS HEATHER GRAY,프렌다,4.8,372,15499,1600,17000
60,0.9866637030451212,락업 트레포일 트랙 팬츠 - 블랙 / IA6355,아디다스,4.9,36,599,200,8800
61,0.9864414314292064,CONE 스트레이트 데님 팬츠 [라이트 인디고],무신사 스탠다드,5.0,189,826,500,11000
62,0.986219159813292,로턴 올 데이 트랙 팬츠 캐비어 블랙,세터,5.0,104,1320,300,10000
63,0.9859968881973772,모두바지 에센셜 (Beige),하이드아웃,4.9,56,401,200,7300
64,0.9857746165814626,패치 포켓 데님 카고 팬츠 BEIGE,인사일런스,4.9,35,760,100,14000
65,0.985552344965548,더블니 85283 팬츠 - 차콜,디키즈,4.9,371,2846,1300,24000
66,0.9853300733496332,셔링 컴벳 트라우져 (블랙),쿠어,4.9,55,2037,300,20000
67,0.9851078017337186,One Tuck Wide Baker Pants [Black],비긴202,4.9,107,731,200,10000
