순위,브랜드명,의류명,링크,품번,성별,조회수,누적판매량(1년),좋아요
1위,수아레,워셔블 하찌 니트 - 11 COLOR,https://www.musinsa.com/app/goods/2396645?loc=goods_rank,1709399,남,17.2만 회 이상,9.2만 개 이상,"82,175"
2위,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 [화이트],https://www.musinsa.com/app/goods/2086653?loc=goods_rank,MMATS701-WH,남,19만 회 이상,21.6만 개 이상,"74,179"
3위,스파오,(시티보이) 오버핏 옥스포드 셔츠_SPYWD23C01,https://www.musinsa.com/app/goods/2272830?loc=goods_rank,SPYWD23C01,남,22.2만 회 이상,5만 개 이상,"45,458"
4위,예일,(23SS) 2 TONE ARCH HOODIE GRAY,https://www.musinsa.com/app/goods/2326935?loc=goods_rank,YD01HD1007GR,남 여,14만 회 이상,6.7만 개 이상,"83,112"
5위,토피,에센셜 후드 스웻 셔츠 (MELANGE GREY),https://www.musinsa.com/app/goods/2314616?loc=goods_rank,TAS-EHSS,남,12.5만 회 이상,4.1만 개 이상,"42,638"
6위,소버먼트,980g pigment mtm-charcoal-,https://www.musinsa.com/app/goods/1582356?loc=goods_rank,pg-mtm-05,남,14.3만 회 이상,3.2만 개 이상,"61,358"
7위,무신사 스탠다드,베이식 긴팔 티셔츠 2팩,https://www.musinsa.com/app/goods/2149254?loc=goods_rank,MMATL411,남,13.8만 회 이상,11.9만 개 이상,"57,006"
8위,트래블,[3-PACK]베이직 트래블러 피그먼트 스웨트셔츠,https://www.musinsa.com/app/goods/1817394?loc=goods_rank,TRTOAWCR92U,남 여,11.9만 회 이상,2만 개 이상,"53,594"
9위,굿라이프웍스,카라 케이블 니트 집업 블랙,https://www.musinsa.com/app/goods/2194649?loc=goods_rank,22FWGK05BK,남 여,11.2만 회 이상,1.9만 개 이상,"51,917"
10위,스컬프터,Velour Soccer Jersey Black,https://www.musinsa.com/app/goods/3034895?loc=goods_rank,SC22A234BK,여,9.3만 회 이상,2.1천 개 이상,"13,253"
11위,코드그라피,[SET] (맨투맨 OR 후드 선택) CGP 아치 로고 트레이닝 셋업_멜란지그레이,https://www.musinsa.com/app/goods/2043036?loc=goods_rank,CBCS1TL300MGCBCS1TH300MGCBCS1PL300MG,남,8.6만 회 이상,1.8만 개 이상,"83,019"
12위,커버낫,에센셜 쿨 코튼 2-PACK 티셔츠 블랙,https://www.musinsa.com/app/goods/1848166?loc=goods_rank,CO0000STE1BK,남 여,8.7만 회 이상,14.1만 개 이상,"132,885"
13위,유니온블루,LAUNDRY SHIRT (LAVENDER GRAY),https://www.musinsa.com/app/goods/2375962?loc=goods_rank,UNION-SH05,남,6.4만 회 이상,7.5천 개 이상,"6,904"
14위,라퍼지스토어,[SS Ver.]헤비 코튼 오버 럭비 맨투맨_Midnight Blue,https://www.musinsa.com/app/goods/2038497?loc=goods_rank,m1037_685555,남 여,18.5만 회 이상,4.4만 개 이상,"118,699"
15위,드로우핏,오버사이즈 집업 카라 터틀넥 니트 [M.GREY],https://www.musinsa.com/app/goods/2226767?loc=goods_rank,DFKN2105MGY,남,7만 회 이상,1.6만 개 이상,"40,793"
16위,엘무드,화란 세미오버 니트 블랙,https://www.musinsa.com/app/goods/1139175?loc=goods_rank,LMDN001,남 여,5.7만 회 이상,1.9만 개 이상,"33,942"
17위,꼼파뇨,크래킹 스냅 레글런 후드티 블랙,https://www.musinsa.com/app/goods/2877493?loc=goods_rank,C22FB13,여,11.6만 회 이상,7.1천 개 이상,"40,886"
18위,마르디 메크르디,SWEATSHIRT FLOWERMARDI BLOSSOM_NAVY WHITE,https://www.musinsa.com/app/goods/3071087?loc=goods_rank,5002424641,여,7.9만 회 이상,1.8천 개 이상,"6,781"
19위,디스이즈네버댓,T-Logo Hoodie Navy,https://www.musinsa.com/app/goods/2758347?loc=goods_rank,TN220TSWHO01NA,남 여,7.4만 회 이상,8.1천 개 이상,"26,125"
20위,트릴리온,워셔블 하프 집업 카라넥 하찌 니트 (PURE BLACK),https://www.musinsa.com/app/goods/2775713?loc=goods_rank,TRFKN03,남 여,12.4만 회 이상,1.8만 개 이상,"33,680"
21위,소버먼트,950g solid hoody-deep black-,https://www.musinsa.com/app/goods/2374814?loc=goods_rank,SVHD03DB,남,6.2만 회 이상,4.9천 개 이상,"6,939"
22위,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_일반 기장 2팩,https://www.musinsa.com/app/goods/2122566?loc=goods_rank,MMATS402,남,8.7만 회 이상,5만 개 이상,"18,500"
23위,아메스 월드와이드,LEISURE TIME LOGO SWEATSHIRT NAVY,https://www.musinsa.com/app/goods/3032250?loc=goods_rank,AM2DSUM441ANV,여,13.8만 회 이상,3.9천 개 이상,"20,118"
24위,노매뉴얼,CROPPED HAIRY KNIT - GRASS GREEN,https://www.musinsa.com/app/goods/2684358?loc=goods_rank,NM23KT01M1GN,남 여,6.7만 회 이상,9.1천 개 이상,"32,252"
25위,무신사 스탠다드,레이어드 크루 넥 반팔 티셔츠_긴 기장 [화이트],https://www.musinsa.com/app/goods/1382658?loc=goods_rank,MMJTS113-WH,남,6.9만 회 이상,7.9만 개 이상,"80,793"
26위,1993스튜디오,90S 트랙 스웨트셔츠_그레이,https://www.musinsa.com/app/goods/2313388?loc=goods_rank,93221TMT1001,남 여,9.7만 회 이상,9.5천 개 이상,"65,914"
27위,코드그라피,[SET] (긴바지 OR 반바지 선택) 24H 트랙 브이넥 맨투맨 셋업_네이비,https://www.musinsa.com/app/goods/3011254?loc=goods_rank,CBCS1TL025NYCBCS1PL025NYCBCS1PS025NY,남,8.3만 회 이상,1.7천 개 이상,"8,508"
28위,엘무드,화란 세미오버 니트 크림,https://www.musinsa.com/app/goods/1139101?loc=goods_rank,LMDN001,남 여,3.3만 회 이상,9.4천 개 이상,"16,857"
29위,로맨틱크라운,[RMTC WITH SVT WOOZI] 우주공장 크루넥_블랙,https://www.musinsa.com/app/goods/3129246?loc=goods_rank,23RWSPTCRU001BK,남,2.4만 회 이상,1.4천 개 이상,"1,170"
30위,와릿이즌,SIGN LOGO HOOD BLACK,https://www.musinsa.com/app/goods/2758254?loc=goods_rank,MG2200HD11BK,남 여,8.9만 회 이상,4.5천 개 이상,"7,272"
31위,와릿이즌,SIGN LOGO HOOD GRAY,https://www.musinsa.com/app/goods/2758252?loc=goods_rank,MG2200HD11GR,남 여,7.4만 회 이상,4.3천 개 이상,"5,725"
